fileName,config,valueSol,tempExec, sol
instances/qbf020,B,125.0,0.083, "Solution: cost=[125.0], size=[9], elements=[2, 3, 4, 9, 11, 14, 15, 16, 19]"
instances/qbf040,B,366.0,0.372, "Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,B,508.0,1800.014, "Solution: cost=[508.0], size=[25], elements=[2, 3, 4, 13, 14, 16, 17, 19, 24, 26, 27, 29, 30, 33, 35, 38, 42, 43, 44, 49, 51, 54, 55, 56, 59]"
instances/qbf080,B,828.0,1800.021, "Solution: cost=[828.0], size=[37], elements=[1, 2, 3, 4, 5, 8, 9, 11, 12, 13, 18, 19, 27, 29, 31, 32, 36, 37, 42, 43, 44, 46, 48, 51, 54, 55, 57, 58, 60, 61, 62, 67, 69, 70, 71, 73, 75]"
instances/qbf100,B,1263.0,1800.056, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,B,3942.0,1800.101, "Solution: cost=[3942.0], size=[98], elements=[1, 4, 5, 7, 9, 16, 17, 19, 21, 23, 25, 26, 28, 29, 30, 31, 34, 39, 42, 45, 49, 51, 53, 54, 56, 61, 62, 63, 66, 69, 70, 72, 73, 74, 80, 81, 82, 83, 84, 85, 86, 88, 89, 94, 99, 100, 103, 105, 106, 108, 110, 114, 116, 117, 119, 125, 129, 132, 133, 134, 136, 138, 139, 141, 143, 144, 145, 147, 148, 150, 153, 154, 155, 156, 157, 159, 160, 163, 164, 165, 166, 167, 169, 171, 174, 176, 177, 178, 179, 183, 184, 187, 188, 192, 193, 195, 196, 198]"
instances/qbf400,B,8978.0,1800.665, "Solution: cost=[8978.0], size=[174], elements=[1, 5, 10, 14, 16, 17, 21, 22, 25, 27, 30, 31, 34, 35, 38, 40, 41, 42, 43, 44, 47, 49, 53, 56, 66, 67, 68, 69, 72, 73, 76, 80, 83, 84, 85, 88, 92, 94, 95, 97, 100, 101, 103, 107, 108, 110, 114, 115, 119, 120, 124, 125, 127, 132, 134, 138, 140, 147, 148, 152, 154, 155, 156, 157, 158, 159, 162, 163, 166, 168, 171, 173, 174, 177, 178, 181, 183, 189, 190, 193, 195, 196, 197, 199, 200, 203, 205, 206, 208, 211, 213, 219, 220, 224, 226, 227, 228, 229, 230, 233, 234, 235, 236, 239, 243, 244, 245, 246, 247, 249, 250, 253, 254, 260, 265, 272, 277, 278, 279, 284, 285, 286, 288, 289, 290, 293, 295, 296, 299, 301, 306, 307, 311, 312, 316, 320, 323, 324, 325, 328, 332, 334, 335, 336, 338, 339, 346, 348, 352, 354, 355, 356, 357, 358, 360, 361, 364, 366, 368, 371, 373, 374, 376, 378, 381, 382, 383, 387, 389, 390, 391, 393, 395, 397]"
