fileName,config,valueSol,tempExec, sol
instances/qbf020,C,120.0,99492,"Solution: cost=[120.0], size=[10], elements=[0, 1, 2, 4, 8, 9, 12, 14, 16, 18]"
instances/qbf040,C,366.0,5913,"Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,C,498.0,1200015,"Solution: cost=[498.0], size=[28], elements=[2, 3, 4, 14, 17, 19, 22, 23, 24, 26, 27, 29, 31, 32, 35, 38, 39, 41, 44, 45, 48, 49, 51, 53, 54, 55, 56, 59]"
instances/qbf080,C,819.0,1200068,"Solution: cost=[819.0], size=[34], elements=[1, 2, 3, 4, 5, 8, 9, 13, 18, 19, 22, 23, 24, 29, 31, 37, 42, 43, 44, 46, 48, 49, 51, 54, 58, 60, 62, 64, 69, 70, 71, 73, 75, 76]"
instances/qbf100,C,1217.0,1200011,"Solution: cost=[1217.0], size=[45], elements=[2, 6, 7, 9, 10, 14, 16, 18, 22, 23, 24, 28, 29, 33, 34, 38, 39, 40, 42, 43, 44, 45, 50, 51, 56, 57, 59, 62, 64, 66, 68, 69, 71, 72, 73, 74, 78, 80, 82, 84, 89, 90, 91, 95, 96]"
instances/qbf200,C,3688.0,1201.46,"Solution: cost=[3688.0], size=[91], elements=[4, 5, 7, 9, 11, 12, 17, 18, 19, 21, 23, 25, 28, 29, 30, 45, 46, 49, 51, 52, 54, 55, 56, 61, 62, 66, 69, 70, 72, 77, 80, 81, 84, 85, 86, 88, 92, 93, 95, 99, 100, 102, 103, 104, 105, 107, 108, 110, 111, 114, 117, 119, 121, 123, 125, 129, 131, 132, 134, 136, 138, 139, 141, 145, 147, 148, 153, 154, 155, 156, 157, 158, 160, 161, 162, 163, 164, 166, 167, 170, 171, 172, 174, 176, 178, 179, 181, 184, 195, 198, 199]"
instances/qbf400,C,6446.0,1200217,"Solution: cost=[6446.0], size=[155], elements=[1, 3, 4, 5, 12, 16, 19, 21, 22, 23, 24, 25, 28, 30, 41, 43, 50, 51, 53, 59, 63, 65, 66, 67, 69, 70, 72, 76, 80, 82, 85, 88, 91, 95, 96, 98, 99, 101, 102, 103, 108, 110, 114, 119, 122, 125, 128, 131, 132, 134, 141, 147, 148, 150, 154, 155, 158, 159, 163, 164, 166, 167, 168, 170, 174, 178, 183, 190, 192, 193, 194, 196, 206, 209, 218, 220, 223, 227, 228, 230, 231, 233, 235, 239, 242, 245, 246, 247, 250, 253, 254, 255, 258, 261, 263, 265, 267, 268, 272, 277, 279, 284, 287, 289, 290, 291, 293, 296, 301, 304, 306, 307, 309, 312, 315, 316, 319, 323, 325, 327, 328, 329, 332, 333, 336, 339, 342, 345, 346, 347, 348, 351, 352, 353, 354, 356, 357, 358, 361, 363, 365, 366, 368, 371, 372, 373, 378, 380, 383, 385, 386, 387, 394, 395, 398]"
