fileName,config,valueSol,tempExec, sol
instances/qbf020,D,125.0,0.101, "Solution: cost=[125.0], size=[9], elements=[2, 3, 4, 9, 11, 14, 15, 16, 19]"
instances/qbf040,D,366.0,0.521, "Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,D,508.0,1800.007, "Solution: cost=[508.0], size=[25], elements=[2, 3, 4, 13, 14, 16, 17, 19, 24, 26, 27, 29, 30, 33, 35, 38, 42, 43, 44, 49, 51, 54, 55, 56, 59]"
instances/qbf080,D,843.0,1800.031, "Solution: cost=[843.0], size=[37], elements=[1, 2, 3, 4, 7, 8, 9, 13, 18, 19, 22, 23, 24, 31, 36, 37, 42, 43, 44, 46, 48, 49, 51, 54, 55, 58, 60, 61, 62, 64, 69, 70, 71, 73, 74, 75, 76]"
instances/qbf100,D,1263.0,1800.007, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,D,3863.0,1800.124, "Solution: cost=[3863.0], size=[98], elements=[1, 4, 5, 6, 7, 8, 9, 13, 16, 19, 21, 23, 25, 28, 29, 30, 31, 33, 34, 38, 39, 41, 45, 49, 51, 53, 54, 56, 58, 63, 68, 69, 70, 72, 77, 80, 81, 84, 85, 88, 89, 92, 93, 94, 99, 105, 106, 110, 111, 112, 114, 117, 119, 121, 124, 125, 129, 131, 132, 137, 138, 139, 141, 144, 145, 147, 148, 150, 152, 153, 154, 155, 156, 157, 160, 161, 162, 164, 165, 166, 167, 169, 171, 172, 173, 174, 176, 179, 180, 181, 183, 184, 185, 188, 193, 195, 196, 199]"
instances/qbf400,D,9463.0,1800.14, "Solution: cost=[9463.0], size=[174], elements=[1, 4, 6, 7, 9, 11, 15, 16, 17, 18, 20, 22, 23, 25, 26, 30, 31, 34, 38, 47, 48, 49, 51, 52, 53, 54, 56, 61, 62, 63, 64, 66, 67, 69, 70, 73, 76, 77, 80, 81, 83, 85, 87, 91, 92, 94, 95, 97, 99, 100, 107, 111, 113, 114, 119, 121, 122, 123, 124, 125, 126, 127, 139, 141, 143, 148, 151, 154, 155, 156, 157, 158, 159, 160, 165, 166, 168, 169, 171, 172, 174, 177, 179, 183, 190, 192, 193, 195, 197, 208, 209, 211, 220, 223, 226, 227, 230, 232, 234, 236, 240, 241, 244, 245, 246, 247, 248, 250, 253, 256, 259, 260, 262, 263, 264, 271, 272, 273, 277, 278, 281, 284, 285, 286, 288, 289, 290, 292, 293, 294, 299, 300, 303, 304, 307, 309, 317, 323, 324, 325, 327, 332, 335, 339, 340, 341, 342, 349, 350, 351, 352, 354, 356, 358, 360, 364, 366, 368, 371, 373, 376, 378, 380, 381, 382, 383, 384, 385, 386, 387, 393, 397, 398, 399]"
