fileName,config,valueSol,tempExec, sol
instances/qbf020,A,125.0,0.047, "Solution: cost=[125.0], size=[9], elements=[2, 3, 4, 9, 11, 14, 15, 16, 19]"
instances/qbf040,A,366.0,0.376, "Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,A,508.0,1800.036, "Solution: cost=[508.0], size=[25], elements=[2, 3, 4, 13, 14, 16, 17, 19, 24, 26, 27, 29, 30, 33, 35, 38, 42, 43, 44, 49, 51, 54, 55, 56, 59]"
instances/qbf080,A,843.0,1800.008, "Solution: cost=[843.0], size=[37], elements=[1, 2, 3, 4, 7, 8, 9, 13, 18, 19, 22, 23, 24, 31, 36, 37, 42, 43, 44, 46, 48, 49, 51, 54, 55, 58, 60, 61, 62, 64, 69, 70, 71, 73, 74, 75, 76]"
instances/qbf100,A,1263.0,1800.028, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,A,4087.0,1800.223, "Solution: cost=[4087.0], size=[95], elements=[4, 5, 7, 9, 16, 17, 18, 19, 20, 21, 23, 25, 28, 29, 30, 31, 34, 36, 37, 42, 45, 49, 51, 52, 54, 61, 62, 63, 66, 67, 69, 70, 72, 80, 81, 82, 83, 85, 86, 87, 88, 89, 93, 94, 95, 99, 101, 103, 105, 106, 110, 111, 112, 114, 116, 117, 119, 121, 124, 127, 131, 132, 134, 137, 138, 139, 141, 145, 147, 148, 150, 154, 155, 156, 157, 159, 160, 162, 163, 164, 166, 167, 169, 171, 174, 179, 183, 184, 187, 192, 193, 195, 196, 198, 199]"
instances/qbf400,A,8258.0,1801.354, "Solution: cost=[8258.0], size=[168], elements=[1, 2, 4, 6, 7, 9, 11, 16, 17, 18, 19, 22, 23, 28, 30, 38, 43, 47, 48, 49, 53, 54, 58, 61, 62, 63, 65, 66, 67, 69, 70, 73, 80, 81, 82, 83, 85, 86, 87, 88, 89, 91, 93, 94, 95, 99, 100, 101, 102, 106, 107, 108, 109, 110, 111, 114, 119, 123, 125, 133, 137, 138, 140, 142, 143, 145, 146, 147, 148, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 162, 164, 166, 171, 172, 177, 183, 187, 189, 190, 192, 193, 195, 198, 199, 200, 201, 208, 209, 211, 215, 223, 225, 226, 227, 229, 230, 231, 232, 234, 236, 239, 240, 244, 245, 246, 247, 258, 259, 261, 263, 272, 276, 277, 278, 285, 288, 289, 291, 293, 299, 303, 304, 306, 307, 309, 310, 316, 323, 325, 327, 328, 331, 332, 336, 339, 342, 348, 351, 352, 354, 358, 365, 366, 368, 373, 375, 376, 378, 382, 383, 385, 386, 387, 394, 395, 397, 398]"
