fileName,config,valueSol,tempExec, sol
instances/qbf100,B,1263.0,1200.179, "Solution: cost=[1263.0], size=[46], elements=[2, 7, 9, 10, 14, 16, 17, 18, 19, 20, 22, 23, 25, 28, 29, 33, 34, 38, 42, 44, 45, 50, 51, 56, 57, 61, 62, 63, 64, 67, 68, 69, 71, 72, 73, 74, 78, 79, 84, 85, 86, 90, 91, 92, 94, 96]"
instances/qbf200,B,3771.0,1200.033, "Solution: cost=[3771.0], size=[94], elements=[4, 6, 7, 8, 9, 13, 15, 16, 18, 19, 20, 21, 23, 25, 30, 31, 33, 34, 37, 40, 43, 45, 46, 48, 49, 51, 52, 54, 58, 61, 67, 69, 70, 72, 73, 77, 80, 81, 83, 84, 85, 86, 87, 90, 93, 94, 95, 99, 101, 106, 110, 111, 112, 114, 115, 117, 121, 122, 124, 126, 127, 131, 132, 137, 138, 140, 141, 143, 145, 147, 148, 152, 154, 155, 156, 157, 158, 160, 162, 166, 167, 169, 171, 172, 173, 174, 175, 184, 190, 192, 193, 195, 196, 197]"
instances/qbf400,B,8044.0,1200.03, "Solution: cost=[8044.0], size=[180], elements=[1, 3, 4, 5, 6, 9, 14, 15, 16, 17, 18, 20, 21, 22, 25, 28, 30, 31, 32, 33, 34, 35, 36, 38, 46, 49, 51, 53, 54, 56, 57, 58, 62, 63, 67, 69, 70, 72, 77, 80, 82, 83, 84, 85, 87, 89, 91, 92, 94, 96, 97, 99, 100, 101, 104, 108, 111, 113, 114, 117, 118, 119, 123, 124, 125, 126, 131, 133, 136, 138, 141, 143, 148, 151, 155, 158, 159, 162, 164, 165, 166, 168, 169, 172, 179, 183, 184, 188, 190, 191, 193, 195, 196, 198, 204, 211, 215, 216, 223, 225, 228, 229, 230, 231, 232, 235, 236, 237, 239, 240, 241, 243, 245, 247, 249, 253, 256, 258, 260, 262, 263, 266, 271, 273, 276, 279, 285, 286, 288, 289, 293, 294, 300, 301, 303, 307, 309, 313, 315, 316, 321, 322, 323, 324, 325, 327, 328, 332, 334, 336, 339, 342, 348, 349, 350, 351, 352, 354, 356, 358, 360, 366, 368, 370, 371, 373, 375, 376, 377, 378, 380, 381, 382, 383, 384, 387, 389, 394, 395, 397]"
