fileName,config,valueSol,tempExec, sol
instances/qbf020,B,125.0,0.189, "Solution: cost=[125.0], size=[9], elements=[2, 3, 4, 9, 11, 14, 15, 16, 19]"
instances/qbf040,B,366.0,0.442, "Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,B,498.0,1200.011, "Solution: cost=[498.0], size=[28], elements=[2, 3, 4, 14, 17, 19, 22, 23, 24, 26, 27, 29, 31, 32, 35, 38, 39, 41, 44, 45, 48, 49, 51, 53, 54, 55, 56, 59]"
instances/qbf080,B,851.0,1200.007, "Solution: cost=[851.0], size=[36], elements=[1, 2, 3, 4, 7, 8, 13, 18, 19, 21, 22, 24, 31, 37, 42, 43, 44, 46, 47, 48, 49, 50, 51, 52, 54, 55, 58, 60, 61, 62, 64, 71, 73, 74, 75, 76]"
