fileName,config,valueSol,tempExec, sol
instances/qbf020,C,120.0,99.492, "Solution: cost=[120.0], size=[10], elements=[0, 1, 2, 4, 8, 9, 12, 14, 16, 18]"
instances/qbf040,C,366.0,5.913, "Solution: cost=[366.0], size=[20], elements=[1, 2, 4, 7, 9, 11, 14, 15, 18, 19, 21, 23, 24, 25, 26, 31, 32, 33, 34, 36]"
instances/qbf060,C,498.0,1200.015, "Solution: cost=[498.0], size=[28], elements=[2, 3, 4, 14, 17, 19, 22, 23, 24, 26, 27, 29, 31, 32, 35, 38, 39, 41, 44, 45, 48, 49, 51, 53, 54, 55, 56, 59]"
instances/qbf080,C,819.0,1200.068, "Solution: cost=[819.0], size=[34], elements=[1, 2, 3, 4, 5, 8, 9, 13, 18, 19, 22, 23, 24, 29, 31, 37, 42, 43, 44, 46, 48, 49, 51, 54, 58, 60, 62, 64, 69, 70, 71, 73, 75, 76]"
